S. No.,Lattitude,Longitude,Pothole,Severity,Ranking
6668,13.0168 ,77.7078,33,5,74
6669,13.0434 ,77.5430,25,2,61
6670,12.8575 ,77.6492,35,5,71
6672,12.9038 ,77.7485,21,2,64
6687,13.0111 ,77.6694,15,3,67
6689,13.0737 ,77.5270,25,1,72
6711,13.0947 ,77.5041,35,3,60
6733,12.9087 ,77.6385,20,1,71
6734,12.9562 ,77.7301,25,4,71
6739,13.0362 ,77.4890,33,2,73
6740,12.9729 ,77.7474,24,1,59
6750,12.9433 ,77.6819,17,4,62
6756,12.8773 ,77.4923,31,5,52
6767,12.9445 ,77.6758,25,1,55
6787,12.8741 ,77.5394,21,1,66
6804,12.9359 ,77.5264,30,5,68
6807,12.9196 ,77.6499,25,3,75
6808,12.8562 ,77.5828,17,4,77
6821,13.0595 ,77.6599,24,2,72
6848,13.0049 ,77.6560,19,2,62
6850,13.0139 ,77.7210,35,4,58
6854,12.8665 ,77.5641,26,4,66
6863,13.0377 ,77.5471,28,4,55
6873,12.9238 ,77.7274,26,1,69
6877,13.0417 ,77.7226,34,2,76
6885,13.0298 ,77.6235,19,1,70
6891,12.8487 ,77.6685,32,2,64
6893,12.9937 ,77.6024,24,2,56
6896,12.9270 ,77.5294,30,2,70
6902,12.9025 ,77.5503,25,2,75
6903,12.9256 ,77.6719,34,1,61
6907,13.0485 ,77.4852,15,3,56
6922,13.0533 ,77.5021,32,2,69
6926,12.9321 ,77.6934,32,2,57
6934,12.9619 ,77.6414,16,2,70
6943,13.0172 ,77.6866,19,4,52
6963,12.9230 ,77.6171,29,4,74
6964,12.9037 ,77.6429,15,5,54
6981,12.9286 ,77.6885,21,1,63
7006,12.9171 ,77.5064,23,4,78
7008,13.0713 ,77.4901,15,3,61
7015,13.0771 ,77.7410,15,4,53
7016,12.9267 ,77.6140,18,4,60
7036,12.8536 ,77.5498,22,4,62
7046,12.8711 ,77.6036,31,2,57
7055,12.9087 ,77.5367,21,4,73
7060,13.0616 ,77.6903,32,3,71
7063,12.8419 ,77.5500,24,2,57
7070,13.0395 ,77.5130,32,4,65
7072,12.9157 ,77.5730,32,5,74
7105,13.0372 ,77.4973,16,4,69
7109,13.0340 ,77.5234,15,4,76
7137,13.0897 ,77.5445,33,4,56
7140,13.0688 ,77.6489,25,4,73
7165,12.8672 ,77.5277,16,2,74
7176,12.9442 ,77.5049,25,5,52
7179,12.8463 ,77.7214,15,4,72
7192,12.8871 ,77.6145,19,3,52
7207,12.9760 ,77.4917,22,1,63
7208,12.9346 ,77.5526,23,4,67
7252,12.9165 ,77.5766,29,5,78
7257,12.9397 ,77.5390,29,1,66
7262,13.0039 ,77.5654,25,4,56
7264,13.0310 ,77.5745,34,3,58
7271,12.8861 ,77.6642,33,4,77
7279,12.8680 ,77.5288,28,1,66
7284,13.0228 ,77.5649,17,4,61
7286,13.0009 ,77.5870,30,5,52
7301,12.9474 ,77.5326,29,2,64
7312,12.8787 ,77.5014,20,2,52
7348,12.8549 ,77.6979,24,2,72
7350,12.9213 ,77.7290,18,1,64
7371,12.9831 ,77.6318,30,1,55
7376,13.0943 ,77.5446,34,1,56
7380,12.9075 ,77.6404,26,4,73
7388,12.9455 ,77.6188,30,2,58
7414,12.9934 ,77.7298,15,5,69
7415,12.8946 ,77.6008,24,4,70
7430,13.0889 ,77.5673,19,4,55
7447,13.0244 ,77.5815,18,1,56
7465,12.8499 ,77.5348,17,5,65
7466,13.0991 ,77.6965,16,4,59
7468,12.8596 ,77.5052,19,1,75
7485,12.8610 ,77.5826,29,4,54
7499,12.8786 ,77.5999,26,2,54
7511,12.9602 ,77.7089,22,2,53
7526,13.0658 ,77.5715,16,1,78
7530,13.0038 ,77.6717,30,3,70
7535,12.9188 ,77.7386,19,3,55
7543,13.0160 ,77.7413,22,5,58
7546,13.0246 ,77.5041,24,5,66
7550,13.0273 ,77.6819,31,1,62
7551,12.9506 ,77.6370,27,1,76
7562,13.0649 ,77.5826,25,3,62
7565,12.9241 ,77.6683,20,3,61
7568,12.9636 ,77.6898,24,4,69
7602,13.0943 ,77.5761,33,5,60
7612,13.0389 ,77.6282,23,3,64
7615,12.9944 ,77.6175,35,1,63
7625,13.0877 ,77.5045,20,5,52
7648,13.0930 ,77.4977,18,1,65
7660,13.0759 ,77.6470,31,2,76
7663,12.9189 ,77.6481,24,1,62
7665,12.9499 ,77.6403,24,3,70
7707,13.0365 ,77.7325,29,4,73
7723,13.0823 ,77.6825,19,2,74
7732,13.0966 ,77.6472,34,3,66
7733,12.8600 ,77.5946,25,5,57
7755,13.0766 ,77.5601,16,1,69
7762,13.0045 ,77.5947,18,3,72
7766,12.9221 ,77.7395,29,3,59
7772,12.9074 ,77.7270,17,3,61
7783,12.9438 ,77.6605,22,2,53
7796,12.9514 ,77.6823,25,1,76
7798,12.9288 ,77.5026,16,4,61
7799,13.0656 ,77.5863,31,2,77
7828,12.9353 ,77.5827,29,5,71
7839,12.9977 ,77.5680,22,2,75
7845,12.8688 ,77.6238,27,1,60
7865,13.0518 ,77.7157,32,1,71
7873,12.9613 ,77.6187,17,3,64
7878,12.9647 ,77.7308,30,5,65
7905,12.8874 ,77.7000,19,5,71
7922,13.0059 ,77.5103,27,5,66
7939,12.9846 ,77.4915,29,5,77
7947,13.0930 ,77.5363,32,3,74
7950,12.9404 ,77.5634,18,3,56
7956,13.0216 ,77.7141,16,2,75
7959,12.9004 ,77.7387,16,3,71
7968,12.9014 ,77.5924,18,2,58
7979,13.0593 ,77.4936,28,5,64
7987,13.0807 ,77.7449,27,5,59
8000,12.8481 ,77.5782,33,3,75
8010,12.8402 ,77.7439,20,5,60
8037,13.0551 ,77.6543,18,2,54
8058,12.8516 ,77.6632,15,1,65
8064,13.0487 ,77.5932,33,1,62
8070,12.9917 ,77.6846,35,1,68
8081,12.8755 ,77.4988,19,4,72
8084,12.9803 ,77.5435,30,5,58
8133,12.9279 ,77.5113,31,3,72
8137,12.9568 ,77.6144,23,4,77
8171,13.0921 ,77.6880,34,2,54
8172,13.0041 ,77.4891,19,5,76
8173,12.8618 ,77.5298,15,4,69
8194,12.8496 ,77.5243,19,4,74
8195,12.8446 ,77.6711,27,5,59
8201,13.0707 ,77.6713,27,3,62
8217,12.9916 ,77.5240,20,5,77
8228,12.9531 ,77.5495,29,1,71
8234,12.9556 ,77.6455,22,5,61
8256,12.9864 ,77.6513,33,2,73
8281,13.0336 ,77.6776,15,1,69
8285,12.8736 ,77.5912,18,5,76
8303,12.8847 ,77.5524,33,5,73
8309,12.9578 ,77.5849,16,2,74
8338,13.0201 ,77.6912,15,5,75
8341,12.9434 ,77.7012,21,1,66
8371,12.8599 ,77.5590,28,5,72
8373,13.0189 ,77.5246,24,4,52
8395,12.8838 ,77.7442,30,3,65
8402,13.0573 ,77.6374,22,3,77
8409,12.9225 ,77.6777,22,5,76
8416,12.9874 ,77.6462,20,4,78
8419,12.8780 ,77.7444,35,3,63
8426,12.9703 ,77.6092,26,1,55
8429,13.0449 ,77.6478,24,4,65
8433,13.0915 ,77.5975,23,3,66
8464,12.8827 ,77.5306,25,2,59
8488,12.9500 ,77.5267,27,4,52
8500,12.9070 ,77.7124,30,5,63
8510,12.9580 ,77.5728,30,2,58
8524,13.0660 ,77.4850,32,3,53
8533,12.8951 ,77.7060,28,3,64
8542,12.9550 ,77.5473,18,1,52
8545,12.8673 ,77.4906,29,4,67
8555,13.0544 ,77.7351,34,2,61
8569,13.0627 ,77.6193,26,4,70
8573,12.9255 ,77.7016,18,2,66
8579,13.0955 ,77.5700,34,5,58
8606,13.0685 ,77.7000,24,4,71
8626,12.9903 ,77.5998,23,2,77
8648,12.9620 ,77.5346,32,3,73
8654,13.0307 ,77.6590,27,1,52
8661,12.9230 ,77.5838,19,1,73
8664,12.9270 ,77.6441,21,4,68
8679,12.9396 ,77.6595,19,4,52
8684,13.0698 ,77.5505,35,1,65
8700,12.8906 ,77.5951,31,1,72
8710,13.0560 ,77.5700,22,5,71
8752,13.0714 ,77.5086,29,3,77
8754,13.0436 ,77.5218,23,1,55
8756,13.0705 ,77.6061,17,3,68
8758,12.8500 ,77.5391,35,4,58
8764,12.8505 ,77.6172,20,1,69
8774,13.0922 ,77.6159,22,3,60
8776,13.0268 ,77.5980,16,1,60
8801,12.9492 ,77.7442,26,4,67
8830,12.9861 ,77.5266,30,5,76
8834,13.0214 ,77.6232,18,2,75
8840,13.0119 ,77.5111,16,3,57
8841,12.8503 ,77.5821,17,4,62
8842,13.0124 ,77.6594,30,4,53
8855,13.0634 ,77.6519,19,3,69
8856,12.9031 ,77.6800,29,4,73
8871,12.9934 ,77.4956,18,4,53
8874,13.0589 ,77.5914,30,1,73
8878,13.0653 ,77.5108,32,3,76
8879,13.0073 ,77.6956,26,5,58
8881,13.0428 ,77.5273,17,4,69
8924,12.8983 ,77.5234,26,4,75
8928,13.0500 ,77.7194,27,1,64
8947,12.9983 ,77.6151,16,3,54
8949,13.0633 ,77.6466,18,1,61
8951,12.9606 ,77.6570,19,5,68
8962,12.9607 ,77.6694,35,5,75
8990,13.0765 ,77.6825,19,5,60
8996,13.0097 ,77.7215,28,4,69
9023,12.9859 ,77.6708,34,5,57
9038,12.9065 ,77.5068,34,1,69
9042,12.8675 ,77.5452,25,4,59
9053,12.9855 ,77.6708,28,2,76
9069,13.0543 ,77.6069,28,1,53
9073,12.8835 ,77.6551,22,4,58
9088,12.8544 ,77.4910,34,3,66
9102,13.0755 ,77.7336,15,3,59
9105,12.8407 ,77.6249,20,2,69
9108,12.8628 ,77.7379,28,5,62
9111,12.8731 ,77.6657,32,2,60
9122,13.0717 ,77.5233,15,3,62
9123,13.0756 ,77.7138,27,5,73
29,13.0396 ,77.6685,34,3,76
64,13.0811 ,77.7154,33,3,65
81,12.8906 ,77.6351,28,1,52
83,12.8506 ,77.5490,35,1,68
107,12.9250 ,77.6201,20,1,77
110,12.8656 ,77.6588,28,4,55
113,12.8529 ,77.7016,31,3,65
115,12.9733 ,77.7401,32,4,75
116,12.9230 ,77.6132,17,5,57
118,13.0633 ,77.5513,30,1,71
124,13.0546 ,77.7296,32,4,73
126,12.8589 ,77.4874,31,2,74
137,12.9417 ,77.6165,16,1,77
144,13.0176 ,77.5748,33,1,64
156,12.9308 ,77.5264,25,1,76
157,13.0872 ,77.5883,33,5,59
165,13.0588 ,77.5223,35,3,69
176,13.0653 ,77.6034,28,4,57
178,12.9493 ,77.5927,20,1,68
182,12.9428 ,77.6074,31,5,56
191,12.9918 ,77.7088,34,2,71
203,12.8474 ,77.6153,17,2,66
209,13.0057 ,77.6696,21,4,55
231,13.0665 ,77.5130,16,5,78
237,13.0497 ,77.5182,34,3,62
245,12.8616 ,77.6965,17,2,72
247,13.0096 ,77.6109,21,5,62
253,12.9589 ,77.5417,29,1,65
256,12.9727 ,77.4902,15,1,71
276,13.0388 ,77.6904,20,3,69
278,13.0514 ,77.6552,29,2,66
290,12.9147 ,77.6789,33,3,54
298,12.9664 ,77.6985,33,2,60
308,13.0215 ,77.6957,17,2,56
337,12.9434 ,77.5065,24,5,57
351,12.8903 ,77.5414,18,1,57
353,13.0744 ,77.6636,18,1,75
367,12.8848 ,77.6618,28,1,67
372,12.8975 ,77.5611,24,3,72
374,12.9962 ,77.5978,18,2,59
376,12.9201 ,77.5573,25,5,54
381,13.0930 ,77.7211,34,1,67
403,12.9786 ,77.5914,26,5,67
418,13.0987 ,77.6087,16,1,73
419,13.0977 ,77.5700,31,3,77
421,13.0059 ,77.5683,22,5,65
422,12.9041 ,77.6871,21,4,53
444,12.9492 ,77.7070,24,2,64
447,12.8863 ,77.6927,35,5,56
451,13.0662 ,77.6898,35,5,61
464,13.0410 ,77.5975,34,4,54
476,12.9504 ,77.5455,20,2,75
507,12.9253 ,77.7214,23,2,63
512,12.9219 ,77.5591,17,4,68
513,13.0733 ,77.6704,22,3,61
520,12.9326 ,77.6364,16,3,58
534,13.0639 ,77.6991,27,4,63
536,12.9878 ,77.5196,33,3,73
562,13.0118 ,77.7200,21,4,64
565,12.8759 ,77.6973,18,1,67
568,12.9084 ,77.7416,16,5,76
601,12.9882 ,77.6967,34,1,60
602,13.0540 ,77.6810,25,4,59
620,12.8737 ,77.6947,16,2,70
624,13.0884 ,77.6186,27,2,63
640,12.9093 ,77.7468,35,2,65
643,12.8732 ,77.5571,32,1,56
645,12.8428 ,77.6161,24,1,66
646,12.8501 ,77.6196,34,4,68
655,12.9283 ,77.5675,28,1,74
678,13.0427 ,77.6034,18,1,62
696,13.0888 ,77.5141,20,2,53
747,12.9869 ,77.5857,30,3,71
754,12.8598 ,77.5985,30,2,57
757,12.8877 ,77.7346,24,1,67
763,12.8995 ,77.4910,20,2,77
773,13.0972 ,77.7421,25,4,52
776,12.8639 ,77.7345,16,4,58
787,12.9016 ,77.6157,20,2,77
796,12.9874 ,77.5313,25,3,53
810,12.9118 ,77.6092,15,5,73
815,12.9615 ,77.7455,33,1,53
828,13.0296 ,77.5678,30,2,76
832,12.9427 ,77.5749,19,5,52
840,13.0916 ,77.6919,24,2,52
850,13.0590 ,77.6841,29,5,66
859,13.0979 ,77.6359,20,5,72
860,13.0119 ,77.6335,19,1,60
877,12.9795 ,77.7228,26,1,65
882,12.9579 ,77.7226,21,5,58
883,13.0613 ,77.6015,26,5,75
886,13.0493 ,77.5269,34,3,56
893,13.0477 ,77.5223,31,4,61
938,12.8488 ,77.6442,33,5,78
941,12.9961 ,77.6629,15,4,67
971,12.8501 ,77.7496,30,2,60
976,12.9448 ,77.7118,31,1,56
978,12.9320 ,77.7464,23,5,56
992,12.9363 ,77.5812,28,2,52
995,13.0078 ,77.7328,27,2,71
1026,13.0600 ,77.4960,25,3,62
1034,12.9278 ,77.5754,27,3,60
1045,12.8932 ,77.7405,34,1,62
1076,12.8782 ,77.6865,27,2,67
1077,12.9673 ,77.5606,19,4,63
1085,12.9323 ,77.6343,16,2,62
1088,13.0297 ,77.5469,29,4,64
1089,12.8889 ,77.5736,21,2,72
1091,13.0491 ,77.7319,33,4,69
1103,12.9945 ,77.5805,28,3,54
1173,13.0649 ,77.6107,17,5,53
1175,12.9128 ,77.6647,30,2,58
1185,13.0041 ,77.6748,23,2,77
1187,12.8877 ,77.6700,16,2,56
1208,12.8594 ,77.7005,15,4,56
1211,13.0540 ,77.7163,33,4,69
1218,12.9712 ,77.4914,24,2,52
1221,13.0921 ,77.4834,20,1,66
1222,12.9852 ,77.7264,34,4,52
1228,12.8756 ,77.6111,20,2,64
1237,12.8838 ,77.5909,28,2,64
1241,12.8530 ,77.6465,34,2,52
1251,12.9428 ,77.6806,21,1,61
1261,12.9081 ,77.6991,31,2,59
1264,12.9697 ,77.4951,23,3,62
1269,12.9040 ,77.5450,24,1,52
1282,13.0116 ,77.7380,18,1,67
1285,12.8404 ,77.6642,32,5,73
1286,12.8517 ,77.4953,15,5,61
1291,12.8643 ,77.5294,30,3,61
1300,12.8573 ,77.5436,17,4,63
1321,13.0357 ,77.7009,35,5,76
1326,12.9345 ,77.5807,33,2,63
1350,12.9981 ,77.6514,29,5,73
1355,13.0818 ,77.4901,32,3,58
1374,12.8810 ,77.4971,31,3,71
1390,13.0817 ,77.7234,22,4,64
1396,12.8591 ,77.5352,22,4,60
1406,12.9953 ,77.7479,17,4,68
1408,13.0568 ,77.5801,22,3,62
1419,12.9320 ,77.5032,28,2,56
1436,12.9008 ,77.5341,24,4,70
1448,12.9788 ,77.5297,20,5,53
1451,12.9762 ,77.4876,21,4,68
1456,13.0080 ,77.6054,33,3,62
1470,13.0458 ,77.6635,30,5,75
1472,13.0118 ,77.5032,25,4,56
1476,12.8527 ,77.4977,20,3,57
1522,12.9602 ,77.6144,32,5,53
1524,12.9197 ,77.6583,34,5,61
1529,12.8917 ,77.6020,17,1,52
1531,12.9230 ,77.6709,28,4,61
1541,12.8473 ,77.5706,29,5,54
1545,13.0204 ,77.6568,24,2,68
1547,12.9133 ,77.6974,28,3,78
1562,12.9270 ,77.6859,16,2,68
1570,12.9564 ,77.5240,34,4,63
1594,12.9913 ,77.7004,15,4,69
1606,12.9991 ,77.6280,24,2,64
1624,12.9303 ,77.7069,20,2,76
1653,12.9963 ,77.6783,31,1,56
1669,13.0891 ,77.6009,17,1,64
1688,13.0876 ,77.6452,16,1,78
1689,12.9968 ,77.4903,31,5,72
1698,12.9073 ,77.6082,22,4,65
1699,13.0033 ,77.4869,15,2,75
1700,12.9202 ,77.5881,31,3,52
1706,13.0764 ,77.6109,28,3,58
1726,13.0035 ,77.6905,32,3,55
1736,12.8955 ,77.5556,20,2,57
1737,12.9781 ,77.5196,15,3,56
1772,13.0592 ,77.7427,15,3,68
1773,12.9962 ,77.6987,15,2,69
1776,13.0578 ,77.4886,16,4,57
1798,12.8874 ,77.7056,18,5,74
1816,12.9107 ,77.5046,25,5,59
1823,12.9501 ,77.5290,35,3,57
1828,13.0413 ,77.6913,24,5,62
1834,13.0049 ,77.6207,28,4,60
1837,13.0503 ,77.6669,29,5,67
1838,12.8913 ,77.5795,20,2,65
1853,12.9705 ,77.7038,18,1,70
1856,12.9928 ,77.6718,30,2,52
1873,12.9167 ,77.6414,34,1,59
1874,12.9439 ,77.6741,17,5,74
1886,12.9714 ,77.5505,24,5,62
1888,12.8470 ,77.5178,17,3,55
1899,12.8722 ,77.7304,26,4,69
1903,12.9877 ,77.6952,26,2,78
1908,12.9905 ,77.6845,15,2,65
1937,12.8952 ,77.5485,16,3,69
1943,13.0946 ,77.6634,28,2,73
1949,13.0299 ,77.7484,28,2,74
1974,12.9703 ,77.4874,28,1,64
1986,12.8832 ,77.6274,25,3,62
1994,12.9903 ,77.5688,32,3,54
1997,13.0379 ,77.4852,19,4,76
1999,13.0695 ,77.6487,21,4,60
2032,13.0713 ,77.7170,15,2,73
2040,13.0769 ,77.4947,30,3,54
2049,12.9272 ,77.5434,21,5,66
2059,12.9674 ,77.6286,32,2,74
2062,12.9703 ,77.6518,18,1,63
2074,12.9476 ,77.4943,35,5,78
2091,13.0687 ,77.5495,18,4,67
2096,12.9424 ,77.6212,21,3,78
2104,12.9030 ,77.7219,29,3,78
2113,12.9961 ,77.6521,27,2,55
2132,12.9689 ,77.6463,23,1,52
2150,13.0202 ,77.6066,18,4,62
2159,12.9979 ,77.7387,31,4,74
2170,12.8511 ,77.7237,28,2,74
2172,13.0240 ,77.5916,25,1,69
2177,13.0987 ,77.6884,33,5,64
2185,13.0662 ,77.5003,24,2,59
2189,13.0643 ,77.7384,15,1,78
2196,13.0830 ,77.6680,22,3,55
2200,13.0673 ,77.5988,28,5,68
2201,12.9759 ,77.6243,35,4,70
2205,12.9624 ,77.6171,17,1,53
2222,13.0753 ,77.5238,25,2,71
2223,13.0291 ,77.5390,23,2,63
2224,12.8671 ,77.7018,28,2,74
2235,12.8590 ,77.6787,20,4,62
2258,12.8595 ,77.5829,20,4,60
2265,13.0546 ,77.6783,16,3,69
2266,12.8621 ,77.6445,32,3,68
2268,13.0093 ,77.7324,20,5,54
2284,13.0511 ,77.7201,22,5,69
2295,12.8407 ,77.5271,29,3,72
2299,12.9791 ,77.7444,15,5,69
2303,12.9962 ,77.6327,19,4,78
2325,12.9815 ,77.5721,19,2,70
2335,12.8787 ,77.4979,34,5,53
2345,13.0836 ,77.7056,18,3,67
2364,12.9092 ,77.6534,22,3,61
2380,12.9207 ,77.6980,24,1,56
2385,12.9374 ,77.5470,23,1,78
2397,13.0362 ,77.6724,22,5,73
2399,12.8529 ,77.4847,27,4,60
2400,12.9737 ,77.6794,19,3,73
2409,13.0446 ,77.5944,17,2,65
2417,13.0578 ,77.7213,18,1,76
2426,13.0241 ,77.4922,24,1,74
2438,12.8767 ,77.5528,34,1,71
2439,12.9981 ,77.6705,27,1,65
2441,13.0979 ,77.7237,19,3,68
2489,12.9163 ,77.6552,28,3,69
2496,12.9301 ,77.6826,27,4,59
2498,12.9303 ,77.5275,30,1,54
2529,12.9538 ,77.5436,18,4,69
2539,12.8973 ,77.7487,34,3,60
2561,12.8690 ,77.7246,15,4,52
2562,13.0463 ,77.6785,22,1,67
2566,12.9620 ,77.6161,31,4,77
2567,13.0029 ,77.5025,28,4,73
2569,12.8957 ,77.6700,18,2,65
2586,13.0831 ,77.5875,34,2,64
2604,13.0390 ,77.5061,29,1,59
2608,12.8456 ,77.5712,28,4,59
2621,13.0616 ,77.6466,17,3,63
2636,12.9736 ,77.6795,20,2,68
2647,12.9520 ,77.5208,32,4,69
2660,12.9142 ,77.5681,23,2,78
2663,13.0283 ,77.6766,31,2,56
2664,12.8886 ,77.5929,18,5,72
2672,12.9660 ,77.5010,24,2,68
2681,12.9782 ,77.4896,29,4,65
2695,12.9680 ,77.5057,19,2,75
2701,12.9388 ,77.6137,24,3,52
2702,13.0799 ,77.7085,26,4,68
2716,12.9362 ,77.5141,22,3,66
2720,12.9956 ,77.7252,19,5,53
2757,13.0391 ,77.6545,22,5,75
2759,12.9951 ,77.5692,28,3,63
2763,12.9454 ,77.7495,22,3,59
2765,12.9816 ,77.5356,23,2,76
2784,12.9406 ,77.7486,30,4,69
2800,12.9946 ,77.5486,23,3,66
2818,12.9558 ,77.7184,32,1,59
2848,13.0553 ,77.6150,33,5,74
2861,12.8476 ,77.7123,34,4,74
2870,13.0297 ,77.5808,30,3,52
2910,12.9835 ,77.5845,29,1,63
2924,13.0491 ,77.6925,16,2,69
2937,13.0767 ,77.5075,33,1,62
2943,12.9786 ,77.5212,16,4,52
2966,13.0936 ,77.6767,19,3,52
2969,12.8833 ,77.5819,25,1,54
2976,12.9580 ,77.5620,29,3,63
2984,13.0830 ,77.4852,17,3,77
2989,12.9488 ,77.4937,26,1,62
2995,13.0153 ,77.6981,31,1,71
2998,12.8894 ,77.6210,31,5,74
3004,13.0121 ,77.7197,23,4,64
3009,12.8837 ,77.6245,19,3,65
3031,12.9522 ,77.7218,32,1,60
3033,12.8689 ,77.5901,21,1,54
3043,13.0481 ,77.5096,19,5,63
3046,12.8858 ,77.6447,22,2,59
3061,13.0940 ,77.6692,27,4,63
3067,12.9347 ,77.5021,35,1,55
3070,13.0381 ,77.6165,15,2,64
3089,13.0232 ,77.6755,34,2,74
3098,12.8560 ,77.7001,27,2,54
3102,12.9553 ,77.5902,25,4,71
3122,12.9236 ,77.6300,22,1,66
3134,13.0716 ,77.5453,35,1,78
3139,12.9680 ,77.5411,30,2,60
3144,12.9118 ,77.7047,22,2,72
3154,12.9026 ,77.5154,34,2,54
3162,13.0573 ,77.6611,29,1,76
3165,12.9698 ,77.6610,17,5,65
3168,12.8759 ,77.5169,25,2,75
3194,13.0211 ,77.4899,26,2,72
3198,12.9790 ,77.6579,30,3,60
3229,12.8541 ,77.7461,17,4,71
3234,12.9273 ,77.6159,18,1,61
3238,12.9931 ,77.5381,31,2,53
3245,12.8744 ,77.6338,15,1,66
3246,13.0626 ,77.5305,15,5,53
3249,12.9734 ,77.6063,16,3,76
3264,12.8428 ,77.7191,35,4,65
3272,12.9199 ,77.6798,15,3,66
3275,12.9888 ,77.5545,26,4,61
3281,13.0224 ,77.5703,18,2,68
3282,13.0482 ,77.6580,34,3,53
3287,12.9741 ,77.4970,29,3,59
3291,13.0351 ,77.5125,26,4,73
3304,13.0057 ,77.5882,29,3,54
3308,13.0867 ,77.6543,15,4,69
3336,13.0035 ,77.6745,33,1,56
3347,13.0677 ,77.6579,21,2,65
3357,13.0425 ,77.5102,28,2,71
3368,12.8690 ,77.7226,26,2,77
3386,12.9534 ,77.6246,25,1,70
3394,12.9866 ,77.4918,25,3,77
3402,13.0034 ,77.6178,18,1,77
3417,13.0284 ,77.6914,29,3,65
3420,12.8556 ,77.5441,26,5,59
3473,12.8444 ,77.7066,23,1,61
3475,12.8464 ,77.6498,23,2,63
3494,12.8907 ,77.5880,34,1,56
3524,12.9948 ,77.6751,23,3,74
3533,13.0823 ,77.4951,18,5,63
3549,13.0847 ,77.6518,35,4,58
3571,12.8476 ,77.6170,21,2,59
3589,12.9812 ,77.5532,15,1,68
3596,12.9190 ,77.6362,22,2,52
3598,12.9622 ,77.5956,23,2,58
3614,13.0688 ,77.7463,31,3,78
3631,13.0339 ,77.7172,33,1,69
3640,13.0632 ,77.6894,25,2,64
3642,12.9843 ,77.6881,25,3,61
3674,13.0298 ,77.5781,21,3,77
3676,12.8495 ,77.7068,35,3,65
3678,13.0364 ,77.7116,30,2,60
3698,13.0258 ,77.5843,30,4,69
3723,12.8523 ,77.6066,23,4,60
3756,13.0956 ,77.6563,31,2,56
3757,12.9282 ,77.6663,22,4,74
3771,13.0679 ,77.7462,35,1,77
3774,12.9348 ,77.5826,34,3,60
3776,13.0597 ,77.6803,28,2,70
3796,13.0053 ,77.6391,27,1,64
3806,12.8998 ,77.5753,34,4,78
3830,12.8965 ,77.6723,32,1,68
3836,12.9577 ,77.6513,24,1,62
3840,12.9059 ,77.7163,24,1,57
3842,13.0662 ,77.5695,32,2,52
3846,13.0693 ,77.6606,25,2,72
3848,13.0075 ,77.6130,21,5,56
3856,12.9263 ,77.6396,31,2,63
3869,12.8982 ,77.5033,33,3,54
3874,13.0276 ,77.5567,32,5,60
3883,12.9270 ,77.5958,28,3,74
3892,13.0023 ,77.6056,24,2,66
3893,12.9346 ,77.5037,29,1,68
3906,13.0703 ,77.5755,17,3,53
3915,12.9160 ,77.5297,22,4,77
3926,13.0420 ,77.6560,32,4,68
3942,13.0644 ,77.6683,31,5,60
3944,13.0516 ,77.6463,22,3,69
3951,13.0073 ,77.7000,19,5,54
3954,12.8801 ,77.5364,25,5,62
3956,12.9759 ,77.5996,33,5,57
3965,12.9685 ,77.5402,33,2,69
3968,12.8514 ,77.6677,23,5,73
3991,13.0183 ,77.5659,34,4,66
3992,12.9835 ,77.7341,28,3,73
3994,12.8818 ,77.6617,28,5,65
4009,13.0115 ,77.5351,29,4,53
4059,12.8834 ,77.6570,21,4,56
4064,13.0746 ,77.5659,24,5,56
4078,12.9646 ,77.6587,20,4,54
4086,12.9522 ,77.5478,26,3,75
4087,12.9584 ,77.5383,29,1,54
4094,13.0652 ,77.6301,19,5,62
4123,12.8450 ,77.6452,28,2,65
4126,12.9827 ,77.5412,22,5,61
4140,12.9420 ,77.6484,16,5,61
4144,13.0114 ,77.5222,34,3,70
4148,12.9977 ,77.5875,34,5,78
4152,12.9696 ,77.7248,21,2,72
4162,13.0392 ,77.7120,21,5,68
4197,13.0016 ,77.6636,32,4,67
4234,13.0689 ,77.5089,32,2,76
4241,13.0320 ,77.6073,35,1,61
4266,13.0804 ,77.4846,16,3,74
4269,12.9387 ,77.5155,15,4,54
4278,12.8969 ,77.5772,20,5,61
4289,13.0511 ,77.7301,27,3,69
4290,12.9007 ,77.7059,28,1,56
4291,12.9601 ,77.5652,29,1,64
4292,12.8869 ,77.7052,30,1,53
4294,12.9427 ,77.5226,32,1,56
4302,13.0855 ,77.6399,15,5,65
4309,12.9845 ,77.6054,33,5,58
4316,13.0098 ,77.5321,31,3,52
4333,12.9459 ,77.5415,18,3,65
4335,12.8737 ,77.5621,30,5,76
4336,13.0344 ,77.5063,28,2,72
4340,13.0055 ,77.6775,23,1,56
4348,12.8827 ,77.4995,25,2,78
4357,12.9946 ,77.5295,21,5,69
4358,13.0618 ,77.7121,33,4,53
4373,12.8812 ,77.6943,34,3,77
4383,13.0054 ,77.5205,30,4,71
4384,12.9864 ,77.7247,21,3,63
4385,12.9910 ,77.6489,19,4,66
4402,13.0219 ,77.6229,23,2,53
4408,13.0947 ,77.6584,34,3,57
4414,13.0233 ,77.5398,16,1,77
4421,13.0596 ,77.5429,16,4,67
4426,12.9718 ,77.5084,33,5,71
4428,13.0106 ,77.7016,35,5,76
4461,13.0372 ,77.5602,33,3,63
4464,12.8517 ,77.5522,23,1,63
4472,12.9539 ,77.6620,23,1,54
